시군구,단지명,가격(만)
강원도 강릉시 교동,민락,12000.0
강원도 강릉시 교동,부영1,18000.0
강원도 강릉시 교동,부영3차,28500.0
강원도 강릉시 교동,예성그린1,9000.0
강원도 강릉시 교동,제일,7400.0
강원도 강릉시 내곡동,내곡한라,29200.0
강원도 강릉시 노암동,노암3한라,12200.0
강원도 강릉시 노암동,노암한라,26500.0
강원도 강릉시 노암동,노암한라,14200.0
강원도 강릉시 노암동,신화,14900.0
강원도 강릉시 노암동,신화,12000.0
강원도 강릉시 송정동,삼우은성,18800.0
강원도 강릉시 연곡면 영진리,삼우그린,7000.0
강원도 강릉시 연곡면 영진리,삼우그린,6900.0
강원도 강릉시 연곡면 영진리,영진부영1,15000.0
강원도 강릉시 연곡면 영진리,영진부영2,19500.0
강원도 강릉시 연곡면 영진리,영진코아루비치테라스,13600.0
강원도 강릉시 연곡면 영진리,영진코아루비치테라스,12900.0
강원도 강릉시 연곡면 영진리,영진코아루비치테라스,14700.0
강원도 강릉시 옥천동,금잔디,4900.0
강원도 강릉시 입암동,강릉더샵,25750.0
강원도 강릉시 입암동,강변,10000.0
강원도 강릉시 입암동,녹원,13000.0
강원도 강릉시 입암동,대목(A단지),6750.0
강원도 강릉시 입암동,입암4주공,15500.0
강원도 강릉시 입암동,입암5주공,13500.0
강원도 강릉시 입암동,입암6주공,14500.0
강원도 강릉시 입암동,입암현대,19500.0
강원도 강릉시 입암동,태평양임대,7700.0
강원도 강릉시 입암동,태평양임대,6500.0
강원도 강릉시 입암동,태평양임대,6500.0
강원도 강릉시 입암동,태평양임대,7000.0
강원도 강릉시 주문진읍 교항리,교항2주공,11900.0
강원도 강릉시 주문진읍 교항리,교항2주공,13000.0
강원도 강릉시 주문진읍 교항리,극동,15500.0
강원도 강릉시 주문진읍 교항리,동명,4200.0
강원도 강릉시 주문진읍 교항리,센텀파크디오션(1단지),20000.0
강원도 강릉시 주문진읍 교항리,우신그린피아임대,7900.0
강원도 강릉시 주문진읍 교항리,우신그린피아임대,7900.0
강원도 강릉시 주문진읍 교항리,우신그린피아임대,9500.0
강원도 강릉시 주문진읍 교항리,우신그린피아임대,10100.0
강원도 강릉시 주문진읍 교항리,우신그린피아임대,8000.0
강원도 강릉시 주문진읍 교항리,주문진벽산블루밍오션힐스,22000.0
강원도 강릉시 주문진읍 주문리,우일해변,17800.0
강원도 강릉시 주문진읍 주문리,주문진라일플로리스4차,9400.0
강원도 강릉시 주문진읍 주문리,주문진라일플로리스4차,10500.0
강원도 강릉시 지변동,덕원임대,11100.0
강원도 강릉시 초당동,이화해변아파트(B~D동),7500.0
강원도 강릉시 포남동,강릉2,10300.0
강원도 강릉시 포남동,강부3,9000.0
강원도 강릉시 포남동,고려3,25000.0
강원도 강릉시 포남동,대인4,5600.0
강원도 강릉시 포남동,미라보,10000.0
강원도 강릉시 포남동,삼일,11700.0
강원도 강릉시 포남동,삼호임대,9500.0
강원도 강릉시 포남동,일송,21100.0
강원도 강릉시 포남동,정아아트,17000.0
강원도 강릉시 포남동,조성빌라,11800.0
강원도 강릉시 포남동,포남1주공,14000.0
강원도 강릉시 포남동,포남2주공,13000.0
강원도 강릉시 포남동,포남2주공,10400.0
강원도 강릉시 홍제동,우산,13700.0
강원도 고성군 간성읍 상리,간성대명,6500.0
강원도 고성군 간성읍 신안리,고성삼익레스타운,15900.0
강원도 고성군 간성읍 신안리,고성삼익레스타운,12000.0
강원도 고성군 간성읍 신안리,고성삼익레스타운,13000.0
강원도 고성군 간성읍 신안리,동해1,7850.0
강원도 고성군 토성면 봉포리,봉포스위트엠오션파크,27000.0
강원도 동해시 구미동,현진,5000.0
강원도 동해시 구미동,현진,6700.0
강원도 동해시 동회동,"대동1,2차",13000.0
강원도 동해시 동회동,"대동1,2차",6400.0
강원도 동해시 동회동,"대동1,2차",8800.0
강원도 동해시 동회동,"대동1,2차",8200.0
강원도 동해시 동회동,대동3차,8700.0
강원도 동해시 동회동,대동3차,14500.0
강원도 동해시 동회동,북삼하우스디아파트,19900.0
강원도 동해시 동회동,현대5차,19800.0
강원도 동해시 묵호진동,삼본임대,8050.0
강원도 동해시 발한동,강경,3000.0
강원도 동해시 발한동,경민2차,5000.0
강원도 동해시 발한동,동해KD아람채,26700.0
강원도 동해시 발한동,동해프라자,8300.0
강원도 동해시 발한동,삼화,5550.0
강원도 동해시 발한동,성남,3500.0
강원도 동해시 발한동,우석1차,3400.0
강원도 동해시 발한동,유성,1650.0
강원도 동해시 발한동,현대비에스앤씨현대썬앤빌동해파크힐,25000.0
강원도 동해시 부곡동,동성,2500.0
강원도 동해시 부곡동,삼정(다라),3900.0
강원도 동해시 부곡동,삼정(다라),2200.0
강원도 동해시 부곡동,삼화미성,5400.0
강원도 동해시 부곡동,삼화미성,5800.0
강원도 동해시 부곡동,유존,3700.0
강원도 동해시 북평동,유화맨션,6900.0
강원도 동해시 쇄운동,보배,4900.0
강원도 동해시 쇄운동,보배,4600.0
강원도 동해시 쇄운동,아름다운아침,9600.0
강원도 동해시 쇄운동,아름다운아침,5700.0
강원도 동해시 쇄운동,아름다운아침,6300.0
강원도 동해시 쇄운동,아름다운아침,5500.0
강원도 동해시 쇄운동,아름다운아침,5700.0
강원도 동해시 이도동,강변,4550.0
강원도 동해시 이도동,동해아이파크,22400.0
강원도 동해시 이도동,이도1주공,6000.0
강원도 동해시 이도동,이도1주공,5700.0
강원도 동해시 이도동,이도2주공,9600.0
강원도 동해시 이도동,이도2주공,9750.0
강원도 동해시 천곡동,동해금호어울림,27400.0
강원도 동해시 천곡동,롯데,9100.0
강원도 동해시 천곡동,롯데,13178.0
강원도 동해시 천곡동,삼성,18100.0
강원도 동해시 천곡동,센트로빌,12600.0
강원도 동해시 천곡동,시영3차,6000.0
강원도 동해시 천곡동,쌍용,22000.0
강원도 동해시 천곡동,유공타워,9000.0
강원도 동해시 천곡동,천곡금호어울림라포레,24300.0
강원도 동해시 천곡동,천곡주공1차,5000.0
강원도 동해시 천곡동,천곡주공4차,8400.0
강원도 동해시 천곡동,천곡주공4차,7750.0
강원도 동해시 천곡동,천곡주공4차,7100.0
강원도 동해시 천곡동,천곡주공4차,8000.0
강원도 동해시 천곡동,한양2차,8000.0
강원도 동해시 천곡동,한양3차,11500.0
강원도 동해시 천곡동,한양3차,11500.0
강원도 동해시 천곡동,혜원빌라,12000.0
강원도 동해시 평릉동,동해하나리움,17000.0
강원도 동해시 평릉동,푸르지오,27500.0
강원도 삼척시 교동,교동지웰,18200.0
강원도 삼척시 교동,교동청솔2차,9750.0
강원도 삼척시 교동,교동코아루,9500.0
강원도 삼척시 교동,동부,7500.0
강원도 삼척시 교동,동부,13700.0
강원도 삼척시 교동,동부,17500.0
강원도 삼척시 교동,신동아,10800.0
강원도 삼척시 교동,신동아,12000.0
강원도 삼척시 근덕면 교가리,동산,7300.0
강원도 삼척시 근덕면 교가리,행남,3000.0
강원도 삼척시 근덕면 교가리,행남,2400.0
강원도 삼척시 남양동,백조임대(348-3),3400.0
강원도 삼척시 남양동,부성빌라,7900.0
강원도 삼척시 원당동,원당현대,13900.0
강원도 삼척시 정상동,강부3차,6800.0
강원도 삼척시 정상동,석미,5550.0
강원도 삼척시 정상동,석미,8200.0
강원도 삼척시 정상동,석미,8400.0
강원도 삼척시 정상동,석미,7700.0
강원도 삼척시 정상동,석미,8600.0
강원도 삼척시 정상동,석미,5600.0
강원도 삼척시 정상동,신패밀리타운,11400.0
강원도 삼척시 정상동,유성,6500.0
강원도 삼척시 정상동,유성,5200.0
강원도 삼척시 정상동,청솔1차,9300.0
강원도 삼척시 정상동,청솔1차,8900.0
강원도 삼척시 정상동,현진에버빌,17450.0
강원도 속초시 교동,남광하우스토리,15000.0
강원도 속초시 교동,남광하우스토리,21500.0
강원도 속초시 교동,대명늘푸른,9900.0
강원도 속초시 교동,대명늘푸른,10000.0
강원도 속초시 교동,대명늘푸른,16400.0
강원도 속초시 교동,동부,14250.0
강원도 속초시 교동,동부,20800.0
강원도 속초시 교동,동부,15500.0
강원도 속초시 교동,럭키설악1,13200.0
강원도 속초시 교동,로얄2,7500.0
강원도 속초시 교동,로얄2,9650.0
강원도 속초시 교동,로얄골든,5500.0
강원도 속초시 교동,로얄나하나1차,13500.0
강원도 속초시 교동,삼호,6600.0
강원도 속초시 교동,삼환,12600.0
강원도 속초시 교동,석미모닝파크,29500.0
강원도 속초시 교동,주공2,14800.0
강원도 속초시 교동,주공2,15000.0
강원도 속초시 교동,청초대우,24800.0
강원도 속초시 교동,현대2,15500.0
강원도 속초시 교동,현대3,17500.0
강원도 속초시 교동,협성,5000.0
강원도 속초시 금호동,서울대명2,16300.0
강원도 속초시 금호동,서울대명2,16300.0
강원도 속초시 금호동,속초e-편한세상,29000.0
강원도 속초시 영랑동,송하,7100.0
강원도 속초시 영랑동,송하,8200.0
강원도 속초시 영랑동,양우비치타워맨션,15000.0
강원도 속초시 조양동,ES아뜨리움,29000.0
강원도 속초시 조양동,부영3,19500.0
강원도 속초시 조양동,부영3,27500.0
강원도 속초시 조양동,부영5,12500.0
강원도 속초시 조양동,부영6,14400.0
강원도 속초시 조양동,부영9,10500.0
강원도 속초시 조양동,부영9,15200.0
강원도 속초시 조양동,부영9,10500.0
강원도 속초시 조양동,성호,18500.0
강원도 속초시 조양동,성호,17500.0
강원도 속초시 조양동,성호,14000.0
강원도 속초시 조양동,속초조양양우내안애아파트,25000.0
강원도 속초시 조양동,조양주공2,14000.0
강원도 속초시 조양동,진덕설악,9800.0
강원도 속초시 조양동,진덕설악,8800.0
강원도 속초시 청호동,속초청호아이파크,30000.0
강원도 양구군 양구읍 상리,경림,7100.0
강원도 양구군 양구읍 상리,서희스타힐스,28000.0
강원도 양구군 양구읍 상리,서희스타힐스,25000.0
강원도 양구군 양구읍 상리,서희스타힐스,24000.0
강원도 양양군 강현면 강선리,양양우미린디오션,25500.0
강원도 양양군 손양면 하왕도리,삼호,7800.0
강원도 양양군 양양읍 구교리,로얄타워맨션,12000.0
강원도 양양군 양양읍 구교리,열방세이프,18500.0
강원도 양양군 양양읍 서문리,양양코아루,24500.0
강원도 양양군 양양읍 월리,명지푸르미,5700.0
강원도 양양군 양양읍 월리,명지푸르미,15300.0
강원도 양양군 현남면 남애리,우정주택남애리치빌,14500.0
강원도 양양군 현북면 중광정리,심미,21000.0
강원도 양양군 현북면 중광정리,심미,10500.0
강원도 영월군 영월읍 덕포리,금용,7400.0
강원도 영월군 영월읍 방절리,신아,4000.0
강원도 영월군 영월읍 방절리,신아,3700.0
강원도 영월군 영월읍 영흥리,J-클래식B동,7374.0
강원도 영월군 영월읍 영흥리,J-클래식B동,6578.0
강원도 영월군 영월읍 영흥리,J-클래식B동,6902.0
강원도 영월군 영월읍 영흥리,동산,7000.0
강원도 영월군 영월읍 하송리,드림채,22500.0
강원도 영월군 영월읍 하송리,레스트힐,23300.0
강원도 영월군 영월읍 하송리,레스트힐,7900.0
강원도 영월군 영월읍 하송리,주공2,5700.0
강원도 영월군 영월읍 하송리,주공2,5350.0
강원도 영월군 영월읍 하송리,주공2,4600.0
강원도 영월군 영월읍 하송리,주공2,5950.0
강원도 영월군 영월읍 하송리,주공3,7900.0
강원도 영월군 영월읍 하송리,주공3,7900.0
강원도 영월군 영월읍 하송리,주공3,7700.0
강원도 영월군 영월읍 하송리,주공4,10900.0
강원도 영월군 영월읍 하송리,주공4,7900.0
강원도 영월군 주천면 주천리,(897-13),16700.0
강원도 원주시 개운동,개운한신휴플러스1차,20900.0
강원도 원주시 개운동,개운한신휴플러스1차,25000.0
강원도 원주시 개운동,개운한신휴플러스1차,25000.0
강원도 원주시 개운동,개운현대,17300.0
강원도 원주시 개운동,개운현대,14000.0
강원도 원주시 개운동,덕산,11300.0
강원도 원주시 관설동,청솔5차,12000.0
강원도 원주시 관설동,청솔5차,12200.0
강원도 원주시 관설동,청솔5차,12000.0
강원도 원주시 관설동,청솔5차,10600.0
강원도 원주시 관설동,청솔8차,13800.0
강원도 원주시 관설동,청솔8차,12500.0
강원도 원주시 관설동,청솔8차,14500.0
강원도 원주시 관설동,청솔8차,10700.0
강원도 원주시 관설동,청솔8차,12700.0
강원도 원주시 관설동,청솔8차,13150.0
강원도 원주시 관설동,청솔8차,14000.0
강원도 원주시 단계동,단계이안1단지,24750.0
강원도 원주시 단계동,단계이안1단지,22900.0
강원도 원주시 단계동,단계주공,20000.0
강원도 원주시 단계동,동보렉스3,5450.0
강원도 원주시 단계동,라이프타운,26000.0
강원도 원주시 단계동,벽산,22200.0
강원도 원주시 단계동,벽산,20500.0
강원도 원주시 단계동,봉화산벨라시티,25000.0
강원도 원주시 단계동,봉화산벨라시티,26000.0
강원도 원주시 단계동,성일,16800.0
강원도 원주시 단계동,세경3차,13000.0
강원도 원주시 단계동,세경3차,12500.0
강원도 원주시 단계동,원주봉화산푸르지오,29450.0
강원도 원주시 단계동,장미,10500.0
강원도 원주시 단계동,코오롱,22700.0
강원도 원주시 단구동,구곡2현대,17500.0
강원도 원주시 단구동,구곡2현대,16500.0
강원도 원주시 단구동,대림,17500.0
강원도 원주시 단구동,대림,17300.0
강원도 원주시 단구동,대림,15900.0
강원도 원주시 단구동,동보노빌리티타워,23600.0
강원도 원주시 단구동,동보렉스5,9600.0
강원도 원주시 단구동,성일,8000.0
강원도 원주시 단구동,성일,15900.0
강원도 원주시 단구동,성일,13800.0
강원도 원주시 단구동,성일,14200.0
강원도 원주시 단구동,청솔1차(1589-2),11800.0
강원도 원주시 단구동,청솔1차(1589-2),11000.0
강원도 원주시 단구동,청솔2차,12600.0
강원도 원주시 단구동,청솔2차,12000.0
강원도 원주시 단구동,청솔3차,10500.0
강원도 원주시 단구동,청솔3차,11800.0
강원도 원주시 단구동,청솔3차,11300.0
강원도 원주시 단구동,청솔4차,12500.0
강원도 원주시 단구동,청솔4차,12500.0
강원도 원주시 단구동,청솔7차,13500.0
강원도 원주시 단구동,청솔7차,12000.0
강원도 원주시 단구동,해청,13800.0
강원도 원주시 단구동,현대1,16300.0
강원도 원주시 단구동,현진에버빌,23900.0
강원도 원주시 명륜동,구곡청구2단지,23000.0
강원도 원주시 명륜동,대성현대,13000.0
강원도 원주시 명륜동,대성현대,18800.0
강원도 원주시 명륜동,동성,11200.0
강원도 원주시 명륜동,성원,17300.0
강원도 원주시 명륜동,성원,17400.0
강원도 원주시 명륜동,성원,16250.0
강원도 원주시 명륜동,성원,19500.0
강원도 원주시 명륜동,성원,19500.0
강원도 원주시 명륜동,성원,21000.0
강원도 원주시 명륜동,성원,18800.0
강원도 원주시 명륜동,세경1,10000.0
강원도 원주시 명륜동,세경1,10000.0
강원도 원주시 명륜동,세경1,14000.0
강원도 원주시 명륜동,한솔솔파크,26000.0
강원도 원주시 명륜동,행운,8200.0
강원도 원주시 명륜동,행운,8500.0
강원도 원주시 명륜동,행운,7600.0
강원도 원주시 명륜동,현대2차,16050.0
강원도 원주시 무실동,뜨란채,28500.0
강원도 원주시 무실동,뜨란채,27500.0
강원도 원주시 무실동,무실주공3단지,22000.0
강원도 원주시 무실동,무실주공3단지,21300.0
강원도 원주시 무실동,무실주공3단지,21000.0
강원도 원주시 무실동,무실주공3단지,20500.0
강원도 원주시 무실동,원주무실6단지휴먼시아,27500.0
강원도 원주시 문막읍 건등리,극동스타클래스,21500.0
강원도 원주시 문막읍 건등리,극동스타클래스,16800.0
강원도 원주시 문막읍 건등리,덕원,6800.0
강원도 원주시 문막읍 건등리,덕원,5500.0
강원도 원주시 문막읍 건등리,덕원,7300.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,24000.0
강원도 원주시 문막읍 건등리,신한,9550.0
강원도 원주시 문막읍 건등리,신한,8500.0
강원도 원주시 문막읍 건등리,신한,9500.0
강원도 원주시 문막읍 동화리,동보렉스6차,5800.0
강원도 원주시 문막읍 동화리,문막미소채아파트,9650.0
강원도 원주시 문막읍 동화리,문막현진,6000.0
강원도 원주시 문막읍 동화리,성우아파트,3860.0
강원도 원주시 문막읍 동화리,원주문막신원아침도시,18200.0
강원도 원주시 문막읍 포진리,남정,4600.0
강원도 원주시 문막읍 포진리,남정,4300.0
강원도 원주시 문막읍 포진리,남정,4700.0
